[2026-02-09 18:00] Container for honggfuzz/libpng/libpng_read_fuzzer started in cb16ea4019ac
Campaign launched at 2026-02-09 23:00
Persistent signature found in '/magma_out/libpng_read_fuzzer'. Enabling persistent fuzzing mode
Start time:'2026-02-09.23.00.12' bin:'/magma_out/libpng_read_fuzzer', input:'/magma/targets/libpng/corpus/libpng_read_fuzzer', output:'/magma_shared/output', persistent:true, stdin:true, mutation_rate:5, timeout:1, max_runs:0, threads:1, minimize:false, git_commit:9f448ea9e8b59960970572e24ba4444b9a4b2fe8
[2J[500BEntering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Persistent mode: Launched new persistent pid=110
Sz:4 Tm:3951us (i/b/h/e/p/c) New:0/0/0/2/0/62, Cur:0/0/0/2/0/0
Sz:8 Tm:344us (i/b/h/e/p/c) New:0/0/0/166/3/2179, Cur:0/0/0/167/0/73
Sz:16 Tm:80us (i/b/h/e/p/c) New:0/0/0/21/0/568, Cur:0/0/0/182/0/86
Sz:32 Tm:87us (i/b/h/e/p/c) New:0/0/0/3/0/104, Cur:0/0/0/185/0/95
Sz:64 Tm:94us (i/b/h/e/p/c) New:0/0/0/41/1/1732, Cur:0/0/0/226/0/135
Sz:128 Tm:347us (i/b/h/e/p/c) New:0/0/0/160/0/5194, Cur:0/0/0/384/0/447
Sz:218 Tm:218us (i/b/h/e/p/c) New:0/0/0/81/0/2771, Cur:0/0/0/455/0/2630
Sz:64 Tm:113us (i/b/h/e/p/c) New:0/0/0/3/0/232, Cur:0/0/0/219/0/133
Sz:128 Tm:105us (i/b/h/e/p/c) New:0/0/0/26/0/1552, Cur:0/0/0/262/0/178
Sz:256 Tm:136us (i/b/h/e/p/c) New:0/0/0/29/0/857, Cur:0/0/0/298/0/306
Sz:427 Tm:128us (i/b/h/e/p/c) New:0/0/0/1/0/46, Cur:0/0/0/512/0/2703
Sz:64 Tm:34us (i/b/h/e/p/c) New:0/0/0/3/0/4, Cur:0/0/0/219/0/226
Sz:128 Tm:98us (i/b/h/e/p/c) New:0/0/0/37/0/1270, Cur:0/0/0/384/0/577
Sz:256 Tm:201us (i/b/h/e/p/c) New:0/0/0/15/0/789, Cur:0/0/0/470/0/3227
Sz:376 Tm:131us (i/b/h/e/p/c) New:0/0/0/2/0/53, Cur:0/0/0/485/0/2978
Sz:64 Tm:45us (i/b/h/e/p/c) New:0/0/0/11/0/353, Cur:0/0/0/239/0/215
Sz:128 Tm:77us (i/b/h/e/p/c) New:0/0/0/4/0/35, Cur:0/0/0/400/0/503
Entering phase 2/3: Switching to the Feedback Driven Mode
Entering phase 3/3: Dynamic Main (Feedback Driven Mode)
Sz:271 Tm:171us (i/b/h/e/p/c) New:0/0/0/1/0/13, Cur:0/0/0/187/0/100
Sz:272 Tm:39us (i/b/h/e/p/c) New:0/0/0/1/0/0, Cur:0/0/0/52/0/5
Sz:78 Tm:54us (i/b/h/e/p/c) New:0/0/0/16/0/520, Cur:0/0/0/203/0/150
Sz:310 Tm:32us (i/b/h/e/p/c) New:0/0/0/4/0/33, Cur:0/0/0/222/0/155
Sz:272 Tm:32us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/178/0/117
Sz:132 Tm:31us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/274/0/493
Sz:134 Tm:61us (i/b/h/e/p/c) New:0/0/0/2/0/3, Cur:0/0/0/178/0/117
Sz:134 Tm:51us (i/b/h/e/p/c) New:0/0/0/5/0/65, Cur:0/0/0/208/0/101
Sz:72 Tm:30us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/180/0/115
