[2026-02-09 18:05] Container for honggfuzz/openssl/asn1parse started in 8cc075d4fc81
Campaign launched at 2026-02-09 23:05
Persistent signature found in '/magma_out/asn1parse'. Enabling persistent fuzzing mode
Start time:'2026-02-09.23.05.29' bin:'/magma_out/asn1parse', input:'/magma/targets/openssl/corpus/asn1parse', output:'/magma_shared/output', persistent:true, stdin:true, mutation_rate:5, timeout:1, max_runs:0, threads:1, minimize:false, git_commit:9f448ea9e8b59960970572e24ba4444b9a4b2fe8
[2J[500BEntering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Persistent mode: Launched new persistent pid=6955
Sz:4 Tm:7860us (i/b/h/e/p/c) New:0/0/0/46/1/828, Cur:0/0/0/64/0/179
Sz:35 Tm:743us (i/b/h/e/p/c) New:0/0/0/386/12/12195, Cur:0/0/0/487/0/4508
Sz:4 Tm:85us (i/b/h/e/p/c) New:0/0/0/1/0/33, Cur:0/0/0/65/0/178
Sz:50 Tm:154us (i/b/h/e/p/c) New:0/0/0/8/0/565, Cur:0/0/0/361/0/3620
Sz:16 Tm:176us (i/b/h/e/p/c) New:0/0/0/74/0/2888, Cur:0/0/0/328/0/1224
Sz:32 Tm:109us (i/b/h/e/p/c) New:0/0/0/0/0/203, Cur:0/0/0/328/0/2463
Sz:64 Tm:197us (i/b/h/e/p/c) New:0/0/0/0/0/382, Cur:0/0/0/327/0/5798
Sz:96 Tm:250us (i/b/h/e/p/c) New:0/0/0/0/0/190, Cur:0/0/0/298/0/8236
Sz:4 Tm:90us (i/b/h/e/p/c) New:0/0/0/7/0/341, Cur:0/0/0/177/0/620
Sz:8 Tm:103us (i/b/h/e/p/c) New:0/0/0/3/0/118, Cur:0/0/0/191/0/1296
Sz:12 Tm:131us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/190/0/1971
Sz:64 Tm:117us (i/b/h/e/p/c) New:0/0/0/2/0/129, Cur:0/0/0/348/0/1875
Sz:128 Tm:241us (i/b/h/e/p/c) New:0/0/0/3/0/209, Cur:0/0/0/352/0/5231
Sz:140 Tm:323us (i/b/h/e/p/c) New:0/0/0/0/0/45, Cur:0/0/0/321/0/6244
Sz:4 Tm:74us (i/b/h/e/p/c) New:0/0/0/3/0/3, Cur:0/0/0/179/0/544
Sz:8 Tm:84us (i/b/h/e/p/c) New:0/0/0/0/0/7, Cur:0/0/0/179/0/1178
Sz:16 Tm:180us (i/b/h/e/p/c) New:0/0/0/0/0/9, Cur:0/0/0/179/0/2443
Sz:32 Tm:273us (i/b/h/e/p/c) New:0/0/0/0/0/89, Cur:0/0/0/179/0/4761
Sz:64 Tm:454us (i/b/h/e/p/c) New:0/0/0/0/0/43, Cur:0/0/0/171/0/7393
Sz:128 Tm:916us (i/b/h/e/p/c) New:0/0/0/0/0/102, Cur:0/0/0/158/0/10096
Sz:256 Tm:2262us (i/b/h/e/p/c) New:0/0/0/0/0/79, Cur:0/0/0/106/0/7795
Sz:4 Tm:128us (i/b/h/e/p/c) New:0/0/0/7/0/225, Cur:0/0/0/114/0/80
Sz:8 Tm:77us (i/b/h/e/p/c) New:0/0/0/0/0/9, Cur:0/0/0/114/0/184
Sz:16 Tm:115us (i/b/h/e/p/c) New:0/0/0/0/0/12, Cur:0/0/0/114/0/392
Sz:4 Tm:75us (i/b/h/e/p/c) New:0/0/0/3/0/35, Cur:0/0/0/134/0/92
Sz:8 Tm:95us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/134/0/176
Sz:16 Tm:115us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/134/0/428
Sz:32 Tm:222us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/134/0/848
Sz:64 Tm:382us (i/b/h/e/p/c) New:0/0/0/0/0/66, Cur:0/0/0/134/0/1772
Sz:96 Tm:564us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/109/0/2667
Sz:4 Tm:50us (i/b/h/e/p/c) New:0/0/0/3/0/158, Cur:0/0/0/56/0/89
