[2026-02-10 07:57] Container for honggfuzz/php/json started in 9f0c8baddeab
/magma/targets/php/corpus/json/1.json: exit_code 137
/magma/targets/php/corpus/json/10.json: exit_code 137
/magma/targets/php/corpus/json/11.json: exit_code 137
/magma/targets/php/corpus/json/12.json: exit_code 137
Campaign launched at 2026-02-10 12:57
Persistent signature found in '/magma_out/json'. Enabling persistent fuzzing mode
Start time:'2026-02-10.12.57.29' bin:'/magma_out/json', input:'/magma/targets/php/corpus/json', output:'/magma_shared/output', persistent:true, stdin:true, mutation_rate:5, timeout:1, max_runs:0, threads:1, minimize:false, git_commit:9f448ea9e8b59960970572e24ba4444b9a4b2fe8
[2J[500BEntering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Persistent mode: Launched new persistent pid=745
Sz:4 Tm:46118us (i/b/h/e/p/c) New:0/0/0/439/31/10311, Cur:0/0/0/526/0/927
Sz:4 Tm:432us (i/b/h/e/p/c) New:0/0/0/1/0/0, Cur:0/0/0/522/0/520
Sz:4 Tm:460us (i/b/h/e/p/c) New:0/0/0/4/0/138, Cur:0/0/0/503/0/437
Sz:8 Tm:359us (i/b/h/e/p/c) New:0/0/0/4/0/168, Cur:0/0/0/518/0/526
Sz:16 Tm:1050us (i/b/h/e/p/c) New:0/0/0/9/2/616, Cur:0/0/0/527/0/659
Sz:18 Tm:633us (i/b/h/e/p/c) New:0/0/0/7/0/140, Cur:0/0/0/519/0/675
Sz:4 Tm:1012us (i/b/h/e/p/c) New:0/0/0/37/3/1603, Cur:0/0/0/533/0/447
Sz:8 Tm:397us (i/b/h/e/p/c) New:0/0/0/2/0/8, Cur:0/0/0/535/0/453
Sz:16 Tm:172us (i/b/h/e/p/c) New:0/0/0/0/0/13, Cur:0/0/0/536/0/468
Sz:32 Tm:239us (i/b/h/e/p/c) New:0/0/0/2/0/191, Cur:0/0/0/512/0/538
Sz:64 Tm:382us (i/b/h/e/p/c) New:0/0/0/0/0/36, Cur:0/0/0/512/0/700
Sz:128 Tm:310us (i/b/h/e/p/c) New:0/0/0/31/2/1913, Cur:0/0/0/574/0/1011
Sz:148 Tm:317us (i/b/h/e/p/c) New:0/0/0/9/1/233, Cur:0/0/0/571/0/1130
Sz:43 Tm:152us (i/b/h/e/p/c) New:0/0/0/8/0/164, Cur:0/0/0/577/0/586
Sz:12 Tm:191us (i/b/h/e/p/c) New:0/0/0/1/0/2, Cur:0/0/0/515/0/529
Sz:4 Tm:209us (i/b/h/e/p/c) New:0/0/0/2/0/307, Cur:0/0/0/504/0/438
Sz:8 Tm:165us (i/b/h/e/p/c) New:0/0/0/5/0/352, Cur:0/0/0/507/0/441
Sz:16 Tm:225us (i/b/h/e/p/c) New:0/0/0/27/0/1616, Cur:0/0/0/540/0/634
Sz:32 Tm:391us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/520/0/540
Sz:32 Tm:613us (i/b/h/e/p/c) New:0/0/0/1/0/84, Cur:0/0/0/504/0/446
Sz:22 Tm:500us (i/b/h/e/p/c) New:0/0/0/1/0/129, Cur:0/0/0/571/0/582
Sz:31 Tm:439us (i/b/h/e/p/c) New:0/0/0/2/0/2, Cur:0/0/0/574/0/579
Sz:16 Tm:127us (i/b/h/e/p/c) New:0/0/0/1/0/67, Cur:0/0/0/493/0/395
Sz:32 Tm:124us (i/b/h/e/p/c) New:0/0/0/3/0/125, Cur:0/0/0/495/0/407
Sz:64 Tm:148us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/494/0/434
Sz:101 Tm:211us (i/b/h/e/p/c) New:0/0/0/15/0/1244, Cur:0/0/0/516/0/662
Sz:4 Tm:165us (i/b/h/e/p/c) New:0/0/0/0/0/12, Cur:0/0/0/502/0/574
Sz:8 Tm:135us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/502/0/758
Sz:16 Tm:149us (i/b/h/e/p/c) New:0/0/0/1/0/2, Cur:0/0/0/493/0/791
Sz:4 Tm:123us (i/b/h/e/p/c) New:0/0/0/1/0/2, Cur:0/0/0/502/0/436
Sz:25 Tm:115us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/559/0/628
Sz:8 Tm:108us (i/b/h/e/p/c) New:0/0/0/2/0/4, Cur:0/0/0/509/0/515
Sz:16 Tm:222us (i/b/h/e/p/c) New:0/0/0/4/0/131, Cur:0/0/0/579/0/724
Sz:32 Tm:140us (i/b/h/e/p/c) New:0/0/0/0/0/19, Cur:0/0/0/583/0/1000
Sz:64 Tm:178us (i/b/h/e/p/c) New:0/0/0/1/0/60, Cur:0/0/0/607/0/1530
Sz:75 Tm:233us (i/b/h/e/p/c) New:0/0/0/0/0/20, Cur:0/0/0/594/0/1528
Sz:16 Tm:103us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/522/0/536
Sz:20 Tm:185us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/522/0/536
Sz:4 Tm:136us (i/b/h/e/p/c) New:0/0/0/2/0/62, Cur:0/0/0/492/0/380
Sz:8 Tm:125us (i/b/h/e/p/c) New:0/0/0/4/0/241, Cur:0/0/0/494/0/382
Sz:16 Tm:106us (i/b/h/e/p/c) New:0/0/0/2/0/157, Cur:0/0/0/497/0/391
Sz:32 Tm:111us (i/b/h/e/p/c) New:0/0/0/1/0/110, Cur:0/0/0/497/0/411
Sz:64 Tm:141us (i/b/h/e/p/c) New:0/0/0/0/0/10, Cur:0/0/0/498/0/456
Sz:104 Tm:368us (i/b/h/e/p/c) New:0/0/0/10/0/709, Cur:0/0/0/520/0/1252
Sz:32 Tm:115us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/503/0/439
Sz:58 Tm:134us (i/b/h/e/p/c) New:0/0/0/4/0/254, Cur:0/0/0/572/0/599
Sz:4 Tm:241us (i/b/h/e/p/c) New:0/0/0/2/0/62, Cur:0/0/0/522/0/508
Sz:7 Tm:153us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/522/0/508
Sz:16 Tm:105us (i/b/h/e/p/c) New:0/0/0/1/0/34, Cur:0/0/0/571/0/556
Sz:32 Tm:274us (i/b/h/e/p/c) New:0/0/0/75/0/2246, Cur:0/0/0/644/0/905
Sz:44 Tm:157us (i/b/h/e/p/c) New:0/0/0/4/0/65, Cur:0/0/0/636/0/1098
Sz:16 Tm:150us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/572/0/567
Sz:32 Tm:399us (i/b/h/e/p/c) New:0/0/0/14/0/397, Cur:0/0/0/607/0/730
Sz:64 Tm:435us (i/b/h/e/p/c) New:0/0/0/0/0/16, Cur:0/0/0/613/0/970
Sz:83 Tm:544us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/608/0/1105
Sz:8 Tm:543us (i/b/h/e/p/c) New:0/0/0/1/0/37, Cur:0/0/0/503/0/431
Sz:16 Tm:230us (i/b/h/e/p/c) New:0/0/0/1/0/2, Cur:0/0/0/504/0/432
Sz:32 Tm:203us (i/b/h/e/p/c) New:0/0/0/3/0/49, Cur:0/0/0/534/0/572
Sz:64 Tm:267us (i/b/h/e/p/c) New:0/0/0/0/0/19, Cur:0/0/0/538/0/814
Sz:76 Tm:186us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/531/0/929
Sz:32 Tm:137us (i/b/h/e/p/c) New:0/0/0/2/0/9, Cur:0/0/0/533/0/711
Sz:14 Tm:176us (i/b/h/e/p/c) New:0/0/0/10/0/389, Cur:0/0/0/580/0/577
Sz:16 Tm:113us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/521/0/537
Sz:29 Tm:123us (i/b/h/e/p/c) New:0/0/0/1/0/4, Cur:0/0/0/573/0/560
Sz:22 Tm:84us (i/b/h/e/p/c) New:0/0/0/1/0/34, Cur:0/0/0/508/0/458
Sz:4 Tm:145us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/520/0/508
Sz:8 Tm:142us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/525/0/569
Sz:16 Tm:146us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/525/0/643
Sz:28 Tm:145us (i/b/h/e/p/c) New:0/0/0/2/0/116, Cur:0/0/0/545/0/753
Sz:128 Tm:176us (i/b/h/e/p/c) New:0/0/0/2/0/141, Cur:0/0/0/606/0/1374
Sz:256 Tm:278us (i/b/h/e/p/c) New:0/0/0/22/0/531, Cur:0/0/0/677/0/2441
Sz:512 Tm:588us (i/b/h/e/p/c) New:0/0/0/45/0/903, Cur:0/0/0/798/0/3794
Sz:1024 Tm:643us (i/b/h/e/p/c) New:0/0/0/19/0/894, Cur:0/0/0/830/0/4739
Sz:1443 Tm:661us (i/b/h/e/p/c) New:0/0/0/13/1/488, Cur:0/0/0/825/0/5302
Sz:8 Tm:82us (i/b/h/e/p/c) New:0/0/0/3/0/168, Cur:0/0/0/483/0/313
Sz:16 Tm:102us (i/b/h/e/p/c) New:0/0/0/3/0/284, Cur:0/0/0/487/0/317
Sz:20 Tm:118us (i/b/h/e/p/c) New:0/0/0/5/0/478, Cur:0/0/0/497/0/385
Sz:5 Tm:102us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/506/0/386
Entering phase 2/3: Switching to the Feedback Driven Mode
Entering phase 3/3: Dynamic Main (Feedback Driven Mode)
Sz:277 Tm:281us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/487/0/343
Sz:85 Tm:83us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/479/0/309
Sz:38 Tm:114us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/479/0/309
Sz:51 Tm:213us (i/b/h/e/p/c) New:0/0/0/1/0/3, Cur:0/0/0/514/0/344
Sz:33 Tm:380us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/514/0/344
Sz:44 Tm:85us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/479/0/309
Sz:49 Tm:369us (i/b/h/e/p/c) New:0/0/0/1/0/114, Cur:0/0/0/479/0/309
Sz:293 Tm:152us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/488/0/344
Sz:28 Tm:92us (i/b/h/e/p/c) New:0/0/0/1/0/89, Cur:0/0/0/503/0/383
Sz:57 Tm:404us (i/b/h/e/p/c) New:0/0/0/1/0/34, Cur:0/0/0/505/0/383
Sz:79 Tm:119us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/479/0/309
Sz:102 Tm:115us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/483/0/321
Sz:25 Tm:146us (i/b/h/e/p/c) New:0/0/0/2/0/37, Cur:0/0/0/482/0/318
Sz:16 Tm:97us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/479/0/309
Sz:46 Tm:125us (i/b/h/e/p/c) New:0/0/0/1/0/34, Cur:0/0/0/479/0/309
Sz:6 Tm:107us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/514/0/344
Sz:32 Tm:109us (i/b/h/e/p/c) New:0/0/0/1/0/2, Cur:0/0/0/479/0/309
Sz:10 Tm:126us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/479/0/309
Sz:5 Tm:111us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/479/0/309
Sz:36 Tm:131us (i/b/h/e/p/c) New:0/0/0/1/0/28, Cur:0/0/0/481/0/311
Sz:40 Tm:128us (i/b/h/e/p/c) New:0/0/0/1/0/121, Cur:0/0/0/480/0/310
Sz:18 Tm:103us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/479/0/309
Sz:16 Tm:104us (i/b/h/e/p/c) New:0/0/0/1/0/26, Cur:0/0/0/479/0/309
Sz:16 Tm:107us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/479/0/309
Sz:17 Tm:93us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/479/0/309
Sz:21 Tm:315us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/499/0/391
Sz:105 Tm:257us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/486/0/342
Sz:66 Tm:299us (i/b/h/e/p/c) New:0/0/0/1/0/2, Cur:0/0/0/486/0/322
Sz:26 Tm:81us (i/b/h/e/p/c) New:0/0/0/1/0/61, Cur:0/0/0/480/0/310
Sz:109 Tm:98us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/484/0/314
Sz:23 Tm:87us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/479/0/309
Sz:26 Tm:111us (i/b/h/e/p/c) New:0/0/0/1/0/8, Cur:0/0/0/487/0/343
